Date,AAPL,ADS,ADSK,AES,AIV,AMT,AMZN,AXP,AZO,BAC,BBY,BEN,BK,CAT,CMG,CPB,CTAS,DD,DGX,DHI,EBAY,EL,FLS,HAS,HBI,HD,HES,HOG,HST,HUM,IBM,INTU,JNJ,LMT,LUV,LYB,MAS,MO,MFST,NEE,NVDA,PKG,PLD,SBUX,SCHW,SHW,SNA,STT,TAP,TRIP
11/1/2014,118.93,285.87,62.00,13.87,37.25,105.01,338.64,92.42,577.71,17.04,39.41,56.86,40.03,100.60,663.62,45.28,73.15,69.27,65.31,25.49,23.10,74.14,58.87,59.20,28.93,99.40,72.93,69.68,23.24,137.97,162.17,93.87,108.25,191.56,41.82,78.86,21.27,50.26,47.81,104.39,20.97,74.28,42.28,40.61,28.32,244.86,135.33,76.73,77.35,73.65
12/1/2014,110.38,286.05,60.06,13.77,37.15,98.85,310.35,93.04,619.11,17.89,38.98,55.37,40.57,91.53,684.51,44.00,78.44,64.92,67.06,25.29,23.62,76.20,59.83,54.99,27.91,104.97,73.82,65.91,23.77,143.63,160.44,92.19,104.57,192.57,42.32,79.39,22.14,49.27,46.45,106.29,20.05,78.05,43.03,41.03,30.19,263.04,136.74,78.50,74.52,74.66
1/1/2015,117.16,288.83,54.01,12.22,39.86,96.95,354.53,80.69,596.96,15.15,35.20,51.53,36.00,79.97,709.84,45.74,78.70,64.27,71.07,24.52,22.31,70.59,54.49,54.92,27.84,104.42,67.49,61.70,22.89,146.44,153.31,86.82,100.14,188.37,45.18,79.09,21.83,53.10,40.40,109.24,19.20,75.85,45.14,43.76,25.98,271.27,132.71,71.51,75.93,67.01
2/1/2015,128.46,278.51,64.24,12.97,37.68,99.14,380.16,81.59,642.68,15.81,38.10,53.83,39.14,82.90,664.97,46.59,83.48,70.08,70.14,27.31,24.37,82.67,62.13,62.32,31.89,114.75,75.08,63.57,21.00,164.38,161.94,97.63,102.51,200.05,43.24,85.91,23.01,56.29,43.85,103.46,22.06,82.86,42.71,46.74,29.34,285.20,147.23,74.45,75.89,89.25
3/1/2015,124.43,296.25,58.64,12.85,39.36,94.15,372.10,78.12,682.16,15.39,37.79,51.32,40.24,80.03,650.54,46.55,81.63,68.29,76.85,28.48,24.28,83.16,56.49,63.24,33.51,113.61,67.87,60.74,20.18,178.02,160.50,96.96,100.60,202.96,44.30,87.80,23.46,50.02,40.66,104.05,20.93,78.19,43.56,47.35,30.44,284.50,147.06,73.53,74.45,83.17
4/1/2015,125.15,297.31,56.83,13.25,37.73,94.53,421.78,77.45,672.66,15.93,34.65,51.56,42.34,86.88,621.34,44.71,79.95,72.59,71.42,25.40,24.52,81.29,58.53,70.79,31.08,106.98,76.90,56.21,20.14,165.60,171.29,100.33,99.20,186.60,40.56,103.52,23.28,50.05,48.64,100.93,22.20,69.19,40.20,49.58,30.50,278.00,149.55,77.12,73.51,80.49
5/1/2015,130.28,298.03,54.15,13.60,37.93,92.79,429.23,79.72,673.62,16.50,34.70,50.91,43.36,85.32,615.52,48.34,86.09,74.11,75.23,26.12,25.82,87.43,55.00,72.13,31.86,111.42,67.52,53.49,19.92,214.65,169.65,104.15,100.14,188.20,37.05,101.10,23.79,51.20,46.86,102.34,22.13,69.18,39.59,51.96,31.65,288.18,155.40,77.93,73.38,76.26
6/1/2015,125.43,291.94,50.08,13.26,36.93,93.29,434.09,77.72,666.90,17.02,32.61,49.03,41.97,84.82,604.99,47.65,84.59,72.83,72.52,27.36,25.35,86.66,52.66,74.79,33.32,111.13,66.88,56.35,19.83,191.28,162.66,100.77,97.46,185.90,33.09,103.52,23.44,48.91,44.15,98.03,20.11,62.49,37.10,53.62,32.65,275.02,159.25,77.00,69.81,87.14
7/1/2015,121.30,275.04,50.58,12.80,39.08,95.11,536.15,76.06,700.94,17.88,32.29,45.55,43.40,78.63,742.23,49.31,85.50,66.98,73.81,29.69,28.12,89.11,46.99,78.74,31.03,117.03,59.01,58.30,19.38,182.09,161.99,105.77,100.21,207.10,36.20,93.83,26.39,54.38,46.70,105.20,19.95,70.79,40.61,57.93,34.88,277.76,164.80,76.56,71.14,79.38
8/1/2015,112.92,257.19,46.75,12.00,36.03,92.19,512.89,76.72,715.99,16.44,36.74,41.05,40.80,75.66,727.17,47.99,84.99,62.28,69.08,30.37,27.11,79.77,45.13,74.59,30.11,116.46,55.76,56.05,17.73,182.79,147.89,85.75,93.98,201.18,36.70,85.38,26.23,53.58,43.52,98.41,22.48,67.11,38.72,55.95,30.38,259.37,159.77,71.92,68.09,69.90
9/1/2015,110.30,258.98,44.14,9.79,37.02,87.98,511.89,74.13,723.83,15.58,37.12,37.26,39.15,65.36,720.25,50.68,85.75,60.35,61.47,29.36,24.44,80.68,41.14,72.14,28.94,115.49,50.06,54.90,15.81,179.00,144.97,88.75,93.35,207.31,38.04,83.36,25.18,54.40,44.26,97.55,24.65,60.16,38.90,56.84,28.56,222.78,150.94,67.21,83.02,63.02
10/1/2015,119.50,297.31,55.19,10.95,39.19,102.23,625.90,73.26,784.41,16.78,35.03,40.76,41.65,72.99,640.23,50.79,93.09,73.54,67.95,29.44,27.90,80.46,46.36,76.83,31.94,123.64,56.21,49.45,17.33,178.63,140.08,97.43,101.03,219.83,46.29,92.91,29.00,60.47,52.64,102.66,28.37,68.45,42.73,62.57,30.52,266.83,165.89,69.00,88.10,83.78
11/1/2015,118.30,286.85,63.47,9.99,38.11,99.38,664.80,71.64,783.77,17.43,31.78,41.92,43.84,72.65,579.55,52.24,91.59,74.20,68.32,32.31,29.59,84.12,46.24,73.09,30.67,133.88,59.00,48.92,16.60,168.66,139.42,100.20,101.24,219.16,45.88,95.82,29.91,57.60,54.35,99.86,31.72,67.99,42.75,61.39,33.71,276.07,172.16,72.58,92.03,82.37
12/1/2015,105.26,276.57,60.93,9.57,40.03,96.95,675.89,69.55,741.91,16.83,30.45,36.82,41.22,67.96,479.85,52.55,91.05,73.27,71.14,32.03,27.48,88.06,42.08,67.36,29.43,132.25,48.48,45.39,15.34,178.51,137.62,96.50,102.72,217.15,43.06,86.90,28.30,58.21,55.48,103.89,32.96,63.05,42.92,60.03,32.93,259.60,171.43,66.36,93.92,85.25
1/1/2016,97.34,199.79,46.82,9.50,39.15,94.34,587.00,53.50,767.39,14.14,27.93,34.66,36.22,62.24,452.97,56.41,85.92,59.78,65.67,27.51,23.46,85.25,38.64,74.28,30.57,125.76,42.50,40.00,13.85,162.79,124.79,95.51,104.44,211.00,37.62,77.97,26.39,61.11,55.09,111.71,29.29,50.83,39.47,60.77,25.53,255.67,161.56,55.73,90.48,66.76
2/1/2016,96.69,210.13,51.74,9.80,36.61,92.20,552.52,55.58,774.57,12.52,32.39,35.85,35.39,67.70,509.16,61.75,83.99,69.19,66.53,26.72,23.80,91.33,42.02,75.87,28.49,124.12,43.60,43.17,15.31,176.97,131.03,96.64,105.21,215.79,41.95,80.21,28.20,61.57,50.88,112.82,31.36,48.50,38.46,58.21,25.05,270.50,144.67,54.78,85.27,62.60
